Company Name,Competitors,Founded,Headquarters,Industry,Job Description,Job Title,Location,Rating,Revenue,Salary Estimate,Sector,Size,Type of ownership
"MMM Holdings
4.1",-1,-1,-1,Insurance Carriers,"It's fun to work in a company where people truly BELIEVE in what they're doing!
We're committed to bringing passion and customer focus to the business.
Consolidate and analyze population data (premium, eligibility, claims utilization etc.) taking into account company’s goals and financial goals
Provide creative alternatives to best organize and present data from all sources (third party payors, EMR and operational)
Assemble and summarize data to structure sophisticated reports on status and risks
Work with data analytics external vendors to ensure completeness and accuracy of published information in the dashboard sites
Conduct business studies on past, future and comparative performance and work with finance to develop forecast models
Maintain specific KPIs that will flag lower than expected performance or anomalies in the data as the driver or cause
Perform ad-hoc analysis and produce summarized reports based on current initiatives and specific areas of focus deemed important to drive performance
Reconcile transactions by comparing and correcting data
Gain and update job knowledge to remain informed about novelty in the field including differences and updates of data dictionaries
Work alongside the Medical Economics team at the local provider groups to vet, understand and improve the presentation and ensure they are driving action instead of simply reporting
Drive process improvement and policy development initiatives that impact the data analysis function
Ability to streamline aggregation and maintenance of payer data archive
Minimum Qualifications
1-3 years of experience Industry related (business, health care, consulting, insurance)
Bachelor’s degree
Healthcare experience preferred
Proficiency in Microsoft Office including Excel (Vlookups and Pivot Tables), Access and Word
SQL Query skill is required
Excellent verbal, written and mathematical skills
If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!",Data Analyst,"Orlando, FL",4.1,Less than $1 million (USD),$47K-$87K (Glassdoor Est.),Insurance,1001 to 5000 Employees,Company - Private
"Oasis Systems LLC
3.9",-1,1997,-1,IT Services,"Overview:
Oasis Systems has an exciting opportunity for a Tactical Data Link (TDL) Analyst located at Langley, AFB in Hampton, VA.

LOCATION: Langley, AFB

JOB STATUS: Full-Time

TRAVEL: N/A

REQUIRED QUALIFICATIONS (Education, Certifications, Experience, Skills):

SECURITY CLEARANCE: US Secret and NATO Secret

EDUCATION:Bachelor’s degree in a technical field (such as engineering, computer science, etc.).

OTHER QUALIFICATIONS/SKILLS:

At least five (5) years recent experience (within past 10 years) in a job working formal operational and information exchange requirements development as they relate to fighter aircraft tactical data exchange.
At least five (5) years recent experience (within past 10 years) in a job performing formal Multi-TDL configuration management (to include development and analysis of complex ICPs), data management, military standards management, and staff processes.
At least five (5) years recent experience (within past 10 years) working with and exposure to Joint/Air Force doctrine and the NATO Consultation, Command and Control Board (C3B) and it subcommittees.

RESPONSIBILITIES:
Develop Interface Control Proposals (ICPs) that make editorial and technical changes to current/future multi-TDL configuration items (US Military Standard (Mil-Std) 3011, 6011, 6016, 6017, 6020, MADL, Cursor on Target (CoT), etc.). Perform detailed technical analysis of ICPs as they relate to USAF platforms and systems.
Provide technical multi-TDL expertise to support the integration of multi-TDL capabilities into USAF platforms and systems.
Develop, or review previously-developed, bit-level implementation specifications for USAF platforms and systems. These implementations shall depict the total multi-TDL implementation requirements for the platform.
Provide technical support at Technical Interchange Meetings and Design Reviews concerning multi-TDL implementations.
Provide technical expertise to analyze concepts or problems with Air Force, Joint, or Coalition standards or implementation of those standards and provide solutions or recommendations in appropriate format as required.
Support development of operational concepts and architectures that use existing and emerging capabilities in support of USAF platform/system information exchange, interoperability, and operational employment requirements. This support shall include participation in Integrated Product Teams (IPTs) and other working groups to address specific technical and operational issues.
Provide analytical assessments addressing impacts on existing allied message standards and systems technical accuracy effect on doctrine and identification of potential problems and provide solutions and recommendations for implementation.
Attend and provide technical support for Air Force, Joint and Coalition-related multi-TDL meetings.

Who We Are
Oasis Systems is a premier provider of customer-driven, cost-effective and quality Engineering Services; Enterprise Systems and Applications; Human Factors Engineering; Information Technology and Cyber Security; Professional Services; and Specialized Engineering Solutions to the Department of Defense, FAA, NRC and other federal agencies.

We strive to be an exciting and welcoming company that attracts, develops, motivates and retains the most talented, skilled and dedicated people in the industry; where they are encouraged to achieve personal excellence, purpose, and their full potential and career aspirations; while supporting mission-critical national security technologies and programs.

Oasis Systems is an equal opportunity employer and does not discriminate in hiring or employment on the basis of any legally protected characteristic including, but not limited to, race, color, religion, national origin, marital status, gender, sexual orientation, ancestry, age, medical condition, military veteran status or on the basis of physical handicap which, with reasonable accommodation, render the application to satisfactorily perform the job available.",Tactical Data Link (TDL) Analyst,"Hampton, VA",3.9,$100 to $500 million (USD),$53K-$95K (Glassdoor Est.),Information Technology,1001 to 5000 Employees,Company - Private
"Austal USA
3.1",-1,1988,-1,Industrial Manufacturing,"Any qualified individual with a disability who is having difficulty in completing an application because of incompatible technology or other disability-related application issues may contact us at the following phone number for assistance: 251-445-1932.

Austal shall abide by the requirements of 41 CFR §§ 60-1.4(a), 60-300.5(a) and 60-741.5(a). These regulations prohibit discrimination against qualified individuals based on their status as protected veterans or individuals with disabilities, and prohibit discrimination against all individuals based on their race, color, religion, sex, sexual orientation, gender identity, or national origin. Moreover, these regulations require that covered prime contractors and subcontractors take affirmative action to employ and advance in employment individuals without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status or disability. Austal’s commitment to equal employment opportunity applies at all levels of employment, in all job titles, including the executive level, and to all employment actions, including but not limited to decisions concerning recruitment, hiring, training, and promotion.
REPORTS TO: HCM Coordinator
SUPERVISES: N/A
AUTHORITIES / RESPONSIBILITIES:
The HCM data analyst plays a crucial role in collecting, structuring, analyzing, and reporting on HR processes and data. Supports business with key HR insights reporting (manning levels, hires; retention, turnover), talent metrics (promotion reporting; learning and development tracking; performance management insights), benefits reporting (billing invoices, participation census) as well as ad hoc reporting and data analysis as needed.
Job Description
Utilizes Workday systems and analytical tools to develop, analyze and interpret HR workforce data.
Partners with stakeholders across business units to build and implement reporting and analytic solutions that provide leaders with information necessary to achieve business goals and objectives.
Develop and maintain standardized dashboards and other related metrics reports for organization-wide and HR department evaluation.
Maintains common HR data repository
Monitors effectiveness of reporting and analytics products to ensure optimal value to the business, modifying or operationalizing new metrics and dashboard products as needed.
Creates scheduled reports and respond to ad-hoc queries from senior management and other areas of the company.
Leverages data extraction tools and approaches to perform complex data analysis and formulate new meaningful insights.
Reviews new reporting requests to be sure the request is consistent with HR systems and data strategies.
Creates, maintains, and ensures quality assurance of human resources data sets, reports, and metrics.
Recommends process and system improvements, follow up on recommendations.
Assist in the identification of data integrity problems and recommend solutions.
Other special projects, as needed.
Other duties as assigned;
QUALIFICATIONS / KNOWLEDGE / EXPERIENCE:
Bachelors degree or equivalent.
3-5 Business Analyst experience documenting Business Requirements and conducting data analysis.
Workday experience preferred in one or more modules: HCM, Benefits, Talent/Performance, Security, or Advanced Compensation.
Strong written and verbal communication skills to effectively communicate processes and procedures with managers and employees.
Highly developed ability to provide clear, concise verbal and written explanations for complex concepts so that others see the value add in recommendations and solutions.
Strong computer proficiency and technical aptitude to utilize MSOffice. Expert-level proficiency in Microsoft Excel (PowerPoint a plus).
Strong process orientation, analytical and problem-solving skills
Excellent service orientation skill set, ability to build strong relationships with fellow HR team members.
Must work with a sense of urgency and have the ability to handle confidential information in a professional manner. Can handle demands from multiple customers and has the ability to prioritize.
Ability to work collaboratively with multiple teams/organizations with attention to detail and strong organizational skills.
Flexible and has the capability to deliver results in a fast-paced, and high volume environment.
TOOLS: Not applicable
DIRECTION EXERCISED: Works within established guidelines. Works autonomously and escalates issues to HCM Coordinator as appropriate.
DISCRETION EXERCISED: A degree of creativity and latitude is expected. Relies on experience and judgment to plan and accomplish goals.
LIAISES WITH:
Employees, Department Managers, HR / Benefit Staff, Finance staff and external consultants as assigned.
ADDITIONAL GUIDELINES:
The ability to obtain and maintain a DoD clearance may be required if deemed necessary in the scope of your position responsibilities.
Candidates must meet the following employment eligibility guidelines to be eligible for employment with Austal USA:
18 years or older at time of application
Able to provide proof of US Person status (permanent resident or citizen)
No felony convictions of theft/deception or violent crimes within seven years from disposition date
No felony convictions of drug crimes within three years from disposition date
Willing to submit to a drug screen
Willing to submit to a background check",HCM Data Analyst,"Mobile, AL",3.1,$1 to $2 billion (USD),$55K-$94K (Glassdoor Est.),Manufacturing,1001 to 5000 Employees,Company - Public
"Plante Moran
3.9",-1,1924,-1,Accounting,"Make your mark. With more than $17.2 billion of assets under management, Plante Moran’s Wealth Management Team serves as a trusted advisor to more than 2,900 high net worth individuals, family business owners, and corporate retirement plans helping them build, manage and preserve their wealth. Our integrated affiliate services include investment consulting, financial planning, trust, insurance consulting, estate planning, business succession, and tax planning.

Your role.
Your work will include, but not be limited to:
Setup and closing of portfolios
Daily manual data entry of financial institution and/or custodian account data
Daily investment data review and reconciliation
Develop, maintain and implement policies and procedures for department
Assist in testing and roll out of system upgrades, system integration and new technology
The qualifications.
3+ years business experience in the investment, banking or accounting field preferred
Detail-oriented leader with strong analytical, problem-solving, and communication (written and verbal) skills
High school diploma or GED equivalent
Associates degree in Business, IT, Accounting or Finance is preferred, but not required
Proficiency in Microsoft Office applications, including Excel.
Qualified individuals must either reside in or near the Kalamazoo or Grand Rapids, MI area or be willing to relocate to the area for this opportunity. This position may require some local or national travel.
Our difference.
We are a nationally recognized public accounting, consulting, and wealth management firm, consistently ranked as one of FORTUNE magazine’s “100 Best Companies to Work For.” At Plante Moran, we live by the Golden Rule, fostering a relatively “jerk-free” culture with the lowest staff turnover rate in the industry. Our supportive network of well-rounded professionals is excited to catapult your growth and help pave your pathway to professional excellence.

Apply now. Make your mark.

This is a non-exempt position, so you may have to work hours that exceed the standard 40-hour work week.

Plante Moran is an Equal Opportunity Employer, committed to a diverse workplace.

Interested applicants must submit their resume for consideration using our applicant tracking system. Due to the high volume of applications received, only candidates selected for interviews will be contacted. Candidates must be legally authorized to work in the United States without sponsorship, with the exception of candidates that are bilingual in Japanese and English. Unsolicited resumes from search firms or employment agencies, or similar, will not be paid a fee and become the property of Plante Moran.

The specific statements above are not intended to be all-inclusive.",Operations Data Analyst,"Kalamazoo, MI",3.9,$500 million to $1 billion (USD),$36K-$62K (Glassdoor Est.),Accounting & Legal,1001 to 5000 Employees,Company - Private
"Vallen
3.6",-1,1865,-1,Wholesale,"Could you be our next Data Solutions Analyst?

The Opportunity

Vallen’s Data Solutions Analyst II is an individual contributor position responsible for performing general analytics and statistical modeling on existing data sets for various products and processes. This position targets specific areas of opportunity and process improvement by identifying areas for increase efficiency and automation of the data analysis processes. The Data Solutions Analyst II examines and identifies data patterns and trends to help answer business questions and improve decision making. They collaborate with the Business and Information Technology teams to develop and submit data on both a regular and ad hoc basis. The Analyst uses data mining and complex data science processes to ensure data is accurately moved into targeted platforms. They gather and identify specific parameters and requirements necessary for customer compliance and business objectives.

Responsibilities Include:
Provide data-driven solutions to solve complex business problems leveraging business analytics tools & techniques, including Oracle SQL Server, Microsoft SQL Server, Oracle Data Integrator, Stibo (STEP), Power BI, IBM Cognos and R Programming.
Collaborate with stakeholders to define data collection and requirements and establish clear business understanding to provide effective analysis and process automation. Work with key stakeholders in different functions to align and consolidate key operational performance metrics.
Identify opportunities to improve operational efficiency and accelerate business growth by supporting the Supply Chain and Business Technology Groups within Vallen.
Compile and mine data from a wide variety of data repositories such as CRM, Work Management, ERP, Data Warehouse and BI Applications. Validate data accuracy and confirm data quality to ensure consistent use across the business. Develop new modeling techniques and tools for analytics and reporting.
Promotes and consults on data management, governance, and data quality of master data requirements with other functional data owners to ensure master data integrity across the operation of systems are consistent and meets stated business rules and requirements.
Design and execute analytic projects; generate insights to support business decisions using advanced analytical techniques.
Translate quantitative analyses and findings into visuals for non-technical audiences. Provide clear interpretation of the data to effectively communicate findings and insights to senior executives, managers and key stakeholders.
Assists in the application and implementation procedures of data standards and guidelines on data ownership, coding structures, and data replication to ensure access to and integrity of data sets.
About Vallen

Vallen is an industry leader in delivering flexible supply chain solutions and services along with a comprehensive range of maintenance, repair, operating, production, safety and electrical products to meet the growing supply needs of customers in facilities across North America and around the world. Vallen is headquartered in Belmont, NC and is a subsidiary of Sonepar USA, part of the global Sonepar family.

Working at Vallen

At Vallen, we are committed to the success of our customers and our co-workers and do what it takes to get the job done right. We work diligently to improve and drive results that create value. We’re hands-on, responsive and team-oriented. We apply our insights, experience and relationships to find the best solution to every challenge. We hold ourselves to be personally accountable to do what we say we will do.

Qualifications & Benefits

Bachelor’s degree in a related field coupled with 5+ years work experience. Associate and 7+ years work experience

Relevant experience should include:
Experience and skill with data mining techniques such as classification, association, clustering, outlier detection, regression analysis, predictive modeling, anomaly detection and pattern tracking.
Specialized knowledge in pattern extrapolation and discovering new knowledge from the data to influence business decision.
Proficient with database query/management (local and SQL), Oracle, Microsoft Access, Microsoft Excel, and various forms of ELT tools and/or applications.
Experience working with inventory management/product data, tools, and applications.
Experience using Stibo (STEP), Oracle Data Integrator, Oracle SQL Developer, Power BI, SmartSheet and Microsoft SharePoint is preferred.
Must be a self-starter and able to work independently and with little supervision.
Excellent customer service skills.


401(k) Plan, Health Insurance (medical, dental, and vision), Paid Vacation, Paid Sick, Paid Personal, Paid Holidays, Flexible Spending Accounts (Health and Dependent Care), Employee Assistance Program, Tuition Reimbursement, Employee Discounts and a definitive career path

EOE M/F/Disability/Veteran

Required Skills

Required Experience

Job Location
Ladson, US-SC",Data Visualization Analyst,"Ladson, SC",3.6,$2 to $5 billion (USD),$43K-$80K (Glassdoor Est.),Business Services,1001 to 5000 Employees,Subsidiary or Business Segment
"Amyx, Inc.
3.9",-1,1999,-1,IT Services,"Overview:
Amyx is seeking to hire a Contract Data Analyst located in Rosslyn, VA. The successful candidate must have A 4-year course of study leading to a bachelor's degree with a major in any field, that includes or is supplemented by at least 24 semester hours in any combination of the following fields: accounting, business, finance, law, contracts, purchasing, economics, industrial management, marketing, quantitative methods or organization. Also, a minimum of 2 years of experience serving as a Federal government and/or contractor employee in the GS-1102 series or equivalent capacity as a contract specialist/administrator or procurement analyst
Responsibilities:
Responsibilities and Skills:
Knowledge of WAWF eBusiness processes.
Knowledge of the federal acquisition process.
Knowledge of contracting principles, laws regulation and procedures.
Knowledge of methods and techniques of fact-finding, analysis, and resolution of complex problems, and the ability to develop concrete action plans to solve problems.
Knowledge and Experience of the WAWF eBusienss Suite, to include: iRAPT, EDA, IUID, CDR, MyInvoice, and Contract Closeout.
Good verbal, analytical and written communication skills.
Good organizational skills in tracking data and actions.
Knowledge and Experience writing professional documents.
Knowledge and Experience in Customer Service.
Skilled in Business Intelligence Reporting.
Proficient in the use of the Microsoft suite of applications including Word, SharePoint, Excel, PowerPoint, Outlook, and Project as well as with Adobe Acrobat.
Supported Technologies:
Integrative Acquisition Environment
DOD acquisition system
Qualifications:
Required Skills and Qualifications:
Bachelor’s degree and preferred majors are accounting, business, finance, law, contracts, purchasing, economics, industrial management, marketing, quantitative methods or organization.
2 years of experience required in serving as a Federal government and/or contractor employee in the GS-1102 series or equivalent capacity as a contract specialist/administrator or procurement analyst.
Desired Skills and Qualifications:
Knowledge of Federal and DOD acquisition procedures

Amyx is an Equal Opportunity employer. Amyx is committed to providing equal employment opportunity to all job seekers. Every qualified applicant receives focused consideration for employment and no one is discriminated against on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability or protected veteran status. In addition to federal law requirements, Amyx complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training. Equal Opportunity Employer- Minorities/Females/Veterans/Individuals with Disabilities/Sexual Orientation/Gender Identity. Amyx is an E-Verify employer.
Amyx proudly and proactively takes affirmative action to advance employment of individuals who are minorities, women, protected veterans and individuals with disabilities.
Physical Demands
Employee needs to be able to sit at a workstation for extended periods; use hand(s) to handle or feel objects, tools, or controls; reach with hands and arms; talk and hear. Most positions require ability to work on desktop or laptop computer for extended periods of time reading, reviewing/analyzing information, and providing recommendations, summaries and/or reports in written format. Must be able to effectively communicate with others verbally and in writing. Employee may be required to occasionally lift and/or move moderate amounts of weight, typically less than 20 pounds. Regular and predictable attendance is essential.

#CB",Contract Data Analyst,"Arlington, VA",3.9,$50 to $100 million (USD),$54K-$98K (Glassdoor Est.),Information Technology,501 to 1000 Employees,Company - Private
"Sperry Rail Inc.
2.6",-1,1928,-1,Rail,"Data Analyst I: Based in Shelton, CT. This is an Overnight position!
Pay is $16 per hour with 20% differential for night work!
LOCAL APPLICANTS ONLY !! THERE IS NO RELOCATION!
SUMMARY OF POSITION:
To process and analyze computer generated test data from detector cars; generate test data audits in accordance to company / client specification; assist in maintaining departmental procedures; processing customer special requests; and to assist in other departmental requirements as needed.
Provide customer audit reports for violations in accordance with internal, client guidelines and procedures.
Assist in data review of service failure investigations, providing this information to the Quality Manager for processing.
Maintain customer and inter-company auditing requirements.
Maintain department measurable as assigned by the Quality Manager.
Provide test data analysis or comparison results as assigned by Quality Manager.
Provide analysis for new technology.
Provide tape comparisons for Chief Operator training class.
MINIMUM REQUIREMENTS:
· Education: High School Diploma/GED.
Skills/Competencies: Communicate effectively, both orally and in writing.
Maintain a relationship with the customer and follow up on all customer complaints. Always maintain a professional and positive attitude toward employees and customers
· Preference to those with fluency in Spanish, Portuguese or Chinese
to apply to the position visit http://www.sperryrail.com/careers.php
Job Type: Full-time
Pay: $16.00 per hour
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Night shift
Overtime
Work Location:
One location
Company's website:
www.sperryrail.com
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
No",Data Analyst,"Shelton, CT",2.6,Unknown / Non-Applicable,$45K-$78K (Glassdoor Est.),Transportation & Logistics,201 to 500 Employees,Company - Private
"Sonepar USA
4.5",-1,1998,-1,Wholesale,"Could you be our next Data Solutions Analyst?

The Opportunity

Vallen’s Data Solutions Analyst II is an individual contributor position responsible for performing general analytics and statistical modeling on existing data sets for various products and processes. This position targets specific areas of opportunity and process improvement by identifying areas for increase efficiency and automation of the data analysis processes. The Data Solutions Analyst II examines and identifies data patterns and trends to help answer business questions and improve decision making. They collaborate with the Business and Information Technology teams to develop and submit data on both a regular and ad hoc basis. The Analyst uses data mining and complex data science processes to ensure data is accurately moved into targeted platforms. They gather and identify specific parameters and requirements necessary for customer compliance and business objectives.

Responsibilities Include:
Provide data-driven solutions to solve complex business problems leveraging business analytics tools & techniques, including Oracle SQL Server, Microsoft SQL Server, Oracle Data Integrator, Stibo (STEP), Power BI, IBM Cognos and R Programming.
Collaborate with stakeholders to define data collection and requirements and establish clear business understanding to provide effective analysis and process automation. Work with key stakeholders in different functions to align and consolidate key operational performance metrics.
Identify opportunities to improve operational efficiency and accelerate business growth by supporting the Supply Chain and Business Technology Groups within Vallen.
Compile and mine data from a wide variety of data repositories such as CRM, Work Management, ERP, Data Warehouse and BI Applications. Validate data accuracy and confirm data quality to ensure consistent use across the business. Develop new modeling techniques and tools for analytics and reporting.
Promotes and consults on data management, governance, and data quality of master data requirements with other functional data owners to ensure master data integrity across the operation of systems are consistent and meets stated business rules and requirements.
Design and execute analytic projects; generate insights to support business decisions using advanced analytical techniques.
Translate quantitative analyses and findings into visuals for non-technical audiences. Provide clear interpretation of the data to effectively communicate findings and insights to senior executives, managers and key stakeholders.
Assists in the application and implementation procedures of data standards and guidelines on data ownership, coding structures, and data replication to ensure access to and integrity of data sets.
About Vallen

Vallen is an industry leader in delivering flexible supply chain solutions and services along with a comprehensive range of maintenance, repair, operating, production, safety and electrical products to meet the growing supply needs of customers in facilities across North America and around the world. Vallen is headquartered in Belmont, NC and is a subsidiary of Sonepar USA, part of the global Sonepar family.

Working at Vallen

At Vallen, we are committed to the success of our customers and our co-workers and do what it takes to get the job done right. We work diligently to improve and drive results that create value. We’re hands-on, responsive and team-oriented. We apply our insights, experience and relationships to find the best solution to every challenge. We hold ourselves to be personally accountable to do what we say we will do.

Qualifications & Benefits

Bachelor’s degree in a related field coupled with 5+ years work experience. Associate and 7+ years work experience

Relevant experience should include:
Experience and skill with data mining techniques such as classification, association, clustering, outlier detection, regression analysis, predictive modeling, anomaly detection and pattern tracking.
Specialized knowledge in pattern extrapolation and discovering new knowledge from the data to influence business decision.
Proficient with database query/management (local and SQL), Oracle, Microsoft Access, Microsoft Excel, and various forms of ELT tools and/or applications.
Experience working with inventory management/product data, tools, and applications.
Experience using Stibo (STEP), Oracle Data Integrator, Oracle SQL Developer, Power BI, SmartSheet and Microsoft SharePoint is preferred.
Must be a self-starter and able to work independently and with little supervision.
Excellent customer service skills.


401(k) Plan, Health Insurance (medical, dental, and vision), Paid Vacation, Paid Sick, Paid Personal, Paid Holidays, Flexible Spending Accounts (Health and Dependent Care), Employee Assistance Program, Tuition Reimbursement, Employee Discounts and a definitive career path

EOE M/F/Disability/Veteran",Data Visualization Analyst,"Ladson, SC",4.5,$5 to $10 billion (USD),$43K-$77K (Glassdoor Est.),Business Services,10000+ Employees,Company - Private
"GreenState Credit Union
3.7",-1,1938,-1,Banks & Credit Unions,"GreenState Credit Union

Commercial Data Analyst

US-IA-North Liberty

Job ID: 2020-2594
Type: Regular Full-Time
# of Openings: 1
Category: Commercial
GreenState Credit Union

Overview
The Commercial Data Analyst works closely with the Commercial Systems Manager and Commercial Portfolio Metrics/Analytics Administrator to assist with various functions of the Commercial Credit department in data analysis, reporting and system administration. Assists with various projects within the department as they relate to data management, mining and reporting.
Pay range for this hourly position is $26.41 - $39.61, with a progressive benefits package.


Responsibilities
Performs essential duties and responsibilities in the following areas which may include, but are not limited to, those listed and are subject to change.
1. Adheres to the Credit Union's core values and Service Standards in carrying out GreenState Credit Union's mission and vision.
2. Demonstrates teamwork in all interactions with coworkers and in the completion of all duties and responsibilities.
3. Plays a vital role in enriching the community by participating in community service organizations and/or Credit Union sponsored events on an annual basis.
4. Ensures confidentiality of member information.
5. Maintains knowledge of and adheres to state, federal and credit union regulations, policies and guidelines.
6. Maintains knowledge of Credit Union products and services.
7. Assists in the generation and review of daily, monthly and quarterly commercial loan reports.
8. Identifies and records findings for accuracy and defects noted during commercial quality control reviews.
9. Makes recommendations and proposes solutions to mitigate errors based upon quality control review findings and/or common defects.
10. Assists with year-end reporting.
11. Assists with the ongoing commercial systems administration of user access; creating, modifying, or deleting users from the commercial lending systems.
12. Supports process improvement including, but not limited to, assisting with the implementation and testing of new and updated software.
13. Provides technical support and assistance for the commercial department.
14. Assists with the coordination of all commercial third-party websites.



Qualifications
1. Four (4) year college degree in Finance, Information Technology, or similar related study.
2. Three years of experience in Lending, Information Technology, or a combination of the two areas.
3. Strong time management skills required to manage multiple assignments, meet deadlines and work efficiently in a time sensitive environment.
4. Strong working knowledge of Microsoft Excel and the Microsoft Office Suite
5. Familiarity with some or all of the following software and systems; Microsoft Power BI, R, Python, SQL, Microsoft Visual Basic (VBA).
6. Accuracy and attention to detail required with a basic understanding of statistical analysis.
7. Strong analytical skills with excellent verbal, written and interpersonal communication skills.
8. Ability to develop and maintain effective working relationships with co-workers.
9. Support diverse and inclusive work environment.
10. Self-motivated with the ability to work with limited direct supervision while maintaining a focus on tasks and responsibilities.

Reporting Relationship
Reports to SVP Commercial Credit Administration

Supervisory Responsibilities
This position is not responsible for the supervision of other employees.

Equal Opportunity Employment Statement
GreenState Credit Union is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status and will not be discriminated against on the basis of disability.





PI126711141",Commercial Data Analyst,"North Liberty, IA",3.7,$100 to $500 million (USD),$32K-$57K (Glassdoor Est.),Finance,501 to 1000 Employees,Nonprofit Organization
"IMT Insurance
4.4",-1,1884,-1,Insurance Carriers,"IMT Insurance is hiring a Data Warehouse Technical Analyst in our Research and Development department to design, maintain, and provide support for data warehouse systems and other related data marts. This individual will also implement and enforce standards and procedures to ensure data is managed consistently and properly integrated within the warehouse. If you have strong time management and excellent communication skills, this position is for you!
A DAY IN THE LIFE:
Responsible for data warehouse design and configuration.
Ensures the accuracy and quality of warehouse data.
Map data between source systems, data warehouses, and data marts.
Develop data warehouse process models, including sourcing, loading, transformation, and extraction.
Defines user requirements and database design specifications.
Develop diagrams or flow charts of system operation.
Acts as a liaison between users, developers, DBAs and network administrators on data warehouse issues.
Interface with DBAs and security team on security and data masking needs.
Provides technical support and coordination during warehouse design, testing and movement to production.
Develop procedures for data management.
Responsible for coding and documenting procedures, and programming, testing and debugging data warehouses.
WHAT YOU’LL NEED:
Actively listens with strong oral and written communication skills
Ability to effectively manage multiple projects at once and prioritize
Maintain technical expertise and knowledge of current trends and techniques
Experienced with cloud-based solutions
Experienced with a programming or scripting language
Data base user interface and query software including SQL
Experienced with database infrastructure
Must possess the ability to work well with others
A college degree or equivalent needed to perform normal functions plus 5+ years of experience needed to perform the essential functions of the job.
Are you still wondering, ‘Why IMT?’ Well let me tell you more. We’ve been named a top workplace for seven years in a row because of the great people who work here. We also pride ourselves in being a family-orientated company, living true to the work/life balance lifestyle. Our employees benefit from a fun, but professional environment taking part in activities and events throughout the year that provides the perfect blend of social opportunities, personal and career development, and community involvement.
If want to learn more, I suggest you apply today!",Data Warehouse Technical Analyst,"West Des Moines, IA",4.4,$100 to $500 million (USD),$45K-$130K (Glassdoor Est.),Insurance,201 to 500 Employees,Company - Private
